datetime,lobby,game,team,ign,playfabid,placement,kills,damage,date,date num,is_fun_match,playfabid2
2024/04/10 18:50:25,C963DF,2,D,WWW_FemboyFallen,9A6C42A411C57BDE,3,3,723,2024-04-10,45392,0,9A6C42A411C57BDE
2024/04/10 18:50:25,C963DF,2,D,WWW_ElliMist,B077A4BA45DBFE90,3,0,521,2024-04-10,45392,0,B077A4BA45DBFE90
2024/04/10 18:50:25,C963DF,2,D,TOTALS,,3,3,1286,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,E,xReturn,C5291FD5BBD3F050,2,0,652,2024-04-10,45392,0,C5291FD5BBD3F050
2024/04/10 18:50:25,C963DF,2,E,Jester.thecl0wn,E7F628EC5820CF60,2,0,261,2024-04-10,45392,0,E7F628EC5820CF60
2024/04/10 18:50:25,C963DF,2,E,Chino__0,2072A9F47383F728,2,3,865,2024-04-10,45392,0,DEBC974F6F52CCCC
2024/04/10 18:50:25,C963DF,2,E,TOTALS,,2,3,1778,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,F,Onickss,1BE398197ACAE00D,7,2,518,2024-04-10,45392,0,1BE398197ACAE00D
2024/04/10 18:50:25,C963DF,2,F,UnQuestionable,87FF41F7ADCDEDFB,7,0,297,2024-04-10,45392,0,87FF41F7ADCDEDFB
2024/04/10 18:50:25,C963DF,2,F,WWW_Nando_AK,D6D028A669631FFF,7,0,230,2024-04-10,45392,0,D6D028A669631FFF
2024/04/10 18:50:25,C963DF,2,F,TOTALS,,7,2,1045,2024-04-10,45392,0,
2024/04/10 18:50:25,C963DF,2,G,bobthecookie123,DBDBA18FAE3C771F,6,0,0,2024-04-10,45392,0,DBDBA18FAE3C771F
2024/04/10 18:50:25,C963DF,2,G,TOTALS,,6,0,0,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,A,Yeahboiiiiii,529AAA3C915D1165,1,3,710,2024-04-10,45392,0,529AAA3C915D1165
2024/04/10 18:53:37,AED685.00,2,A,APEX_BOBO,B864335427BF31DE,1,8,2022,2024-04-10,45392,0,B864335427BF31DE
2024/04/10 18:53:37,AED685.00,2,A,SAH1b,17C81FDBCCC905C6,1,8,1558,2024-04-10,45392,0,17C81FDBCCC905C6
2024/04/10 18:53:37,AED685.00,2,A,TOTALS,,1,19,4290,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,B,GO_STOOOBE,121559C6C39206B5,3,2,662,2024-04-10,45392,0,121559C6C39206B5
2024/04/10 18:53:37,AED685.00,2,B,GO_BABs,290C1E25CEE59C4B,3,0,463,2024-04-10,45392,0,290C1E25CEE59C4B
2024/04/10 18:53:37,AED685.00,2,B,GO_Loki714,322087B90928B7CB,3,0,418,2024-04-10,45392,0,7AEED7BA665E4D7A
2024/04/10 18:53:37,AED685.00,2,B,TOTALS,,3,2,1543,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,C,VIPxAniya,75A2561232645DE3,6,0,70,2024-04-10,45392,0,75A2561232645DE3
2024/04/10 18:53:37,AED685.00,2,C,neeeks,A3D48CEE6968286F,6,0,157,2024-04-10,45392,0,A3D48CEE6968286F
2024/04/10 18:53:37,AED685.00,2,C,🥲,AB9387B8FEBD0944,6,0,96,2024-04-10,45392,0,F803F24A69FF642F
2024/04/10 18:53:37,AED685.00,2,C,TOTALS,,6,0,323,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,D,TTP.Chase,9070764BE8ABC182,4,1,393,2024-04-10,45392,0,9070764BE8ABC182
2024/04/10 18:53:37,AED685.00,2,D,portermac,CC668E1312F0EC6B,4,0,623,2024-04-10,45392,0,CC668E1312F0EC6B
2024/04/10 18:53:37,AED685.00,2,D,stuje1,18ADF7AEAC225CE6,4,0,180,2024-04-10,45392,0,18ADF7AEAC225CE6
2024/04/10 18:53:37,AED685.00,2,D,TOTALS,,4,1,1196,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,E,GO_DocButler,E40FBC5F7C9F0DEC,2,0,677,2024-04-10,45392,0,E40FBC5F7C9F0DEC
2024/04/10 18:53:37,AED685.00,2,E,AllTheBaconAndEGGz,E4CB0E373C7F2860,2,4,607,2024-04-10,45392,0,E4CB0E373C7F2860
2024/04/10 18:53:37,AED685.00,2,E,GO_SHARK,E15CAAD0003430E3,2,3,771,2024-04-10,45392,0,E15CAAD0003430E3
2024/04/10 18:53:37,AED685.00,2,E,TOTALS,,2,7,2055,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,F,vipxace,3C451C712FB045E0,5,0,291,2024-04-10,45392,0,3C451C712FB045E0
2024/04/10 18:53:37,AED685.00,2,F,VIPxgiantbob321,31B5320BAEA09713,5,0,153,2024-04-10,45392,0,31B5320BAEA09713
2024/04/10 18:53:37,AED685.00,2,F,TOTALS,,5,0,444,2024-04-10,45392,0,
2024/04/10 18:53:37,AED685.00,2,G,GO_Robot,C63E7138083B98BC,7,0,0,2024-04-10,45392,0,C63E7138083B98BC
2024/04/10 18:53:37,AED685.00,2,G,TOTALS,,7,0,0,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,A,Yeahboiiiiii,529AAA3C915D1165,1,6,871,2024-04-10,45392,0,529AAA3C915D1165
2024/04/10 19:00:48,AED685.00,4,A,APEX_BOBO,B864335427BF31DE,1,2,843,2024-04-10,45392,0,B864335427BF31DE
2024/04/10 19:00:48,AED685.00,4,A,SAH1b,17C81FDBCCC905C6,1,6,993,2024-04-10,45392,0,17C81FDBCCC905C6
2024/04/10 19:00:48,AED685.00,4,A,TOTALS,,1,14,2707,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,B,GO_STOOOBE,121559C6C39206B5,4,1,379,2024-04-10,45392,0,121559C6C39206B5
2024/04/10 19:00:48,AED685.00,4,B,GO_BABs,290C1E25CEE59C4B,4,0,166,2024-04-10,45392,0,290C1E25CEE59C4B
2024/04/10 19:00:48,AED685.00,4,B,GO_Loki714,322087B90928B7CB,4,1,173,2024-04-10,45392,0,7AEED7BA665E4D7A
2024/04/10 19:00:48,AED685.00,4,B,TOTALS,,4,2,718,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,C,VIPxAniya,75A2561232645DE3,2,1,480,2024-04-10,45392,0,75A2561232645DE3
2024/04/10 19:00:48,AED685.00,4,C,neeeks,A3D48CEE6968286F,2,2,300,2024-04-10,45392,0,A3D48CEE6968286F
2024/04/10 19:00:48,AED685.00,4,C,🥲,AB9387B8FEBD0944,2,2,816,2024-04-10,45392,0,F803F24A69FF642F
2024/04/10 19:00:48,AED685.00,4,C,TOTALS,,2,5,1596,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,D,TTP.Chase,9070764BE8ABC182,3,0,155,2024-04-10,45392,0,9070764BE8ABC182
2024/04/10 19:00:48,AED685.00,4,D,portermac,CC668E1312F0EC6B,3,1,300,2024-04-10,45392,0,CC668E1312F0EC6B
2024/04/10 19:00:48,AED685.00,4,D,stuje1,18ADF7AEAC225CE6,3,0,171,2024-04-10,45392,0,18ADF7AEAC225CE6
2024/04/10 19:00:48,AED685.00,4,D,TOTALS,,3,1,626,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,E,GO_DocButler,E40FBC5F7C9F0DEC,5,1,288,2024-04-10,45392,0,E40FBC5F7C9F0DEC
2024/04/10 19:00:48,AED685.00,4,E,AllTheBaconAndEGGz,E4CB0E373C7F2860,5,0,89,2024-04-10,45392,0,E4CB0E373C7F2860
2024/04/10 19:00:48,AED685.00,4,E,GO_SHARK,E15CAAD0003430E3,5,1,287,2024-04-10,45392,0,E15CAAD0003430E3
2024/04/10 19:00:48,AED685.00,4,E,TOTALS,,5,2,664,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,F,vipxace,3C451C712FB045E0,6,0,106,2024-04-10,45392,0,3C451C712FB045E0
2024/04/10 19:00:48,AED685.00,4,F,VIPxgiantbob321,31B5320BAEA09713,6,0,11,2024-04-10,45392,0,31B5320BAEA09713
2024/04/10 19:00:48,AED685.00,4,F,TOTALS,,6,0,117,2024-04-10,45392,0,
2024/04/10 19:00:48,AED685.00,4,G,GO_Robot,C63E7138083B98BC,7,0,0,2024-04-10,45392,0,C63E7138083B98BC
2024/04/10 19:00:48,AED685.00,4,G,TOTALS,,7,0,0,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,A,VIPxNoah,743B2938B4AD04E4,5,0,738,2024-04-10,45392,0,35BF2EE8727E21DD
2024/04/10 19:03:49,C963DF,3,A,VIPxSami,7236D5DED53B1204,5,0,71,2024-04-10,45392,0,7236D5DED53B1204
2024/04/10 19:03:49,C963DF,3,A,VIPxGloxii <3,C12AACEAC9CE276,5,0,282,2024-04-10,45392,0,B2EB5AF7D9C8E673
2024/04/10 19:03:49,C963DF,3,A,TOTALS,,5,0,1091,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,B,Ry.y,765E29220A77E744,1,4,716,2024-04-10,45392,0,765E29220A77E744
2024/04/10 19:03:49,C963DF,3,B,Magical_Beans,B7A7FD4C7B8309CB,1,2,675,2024-04-10,45392,0,42AAE36F6839385B
2024/04/10 19:03:49,C963DF,3,B,UWU,14E017AE65DFDD61,1,2,910,2024-04-10,45392,0,E9E44C258D99C389
2024/04/10 19:03:49,C963DF,3,B,TOTALS,,1,8,2301,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,C,UnsaidRhombus.NB,6E2438B41FE274CA,6,2,643,2024-04-10,45392,0,6E2438B41FE274CA
2024/04/10 19:03:49,C963DF,3,C,Winner_54,492A78B22B55DDB3,6,0,502,2024-04-10,45392,0,492A78B22B55DDB3
2024/04/10 19:03:49,C963DF,3,C,TOTALS,,6,2,1145,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,D,Consesa,A964E942A84A9AF9,7,1,251,2024-04-10,45392,0,A964E942A84A9AF9
2024/04/10 19:03:49,C963DF,3,D,WWW_FemboyFallen,9A6C42A411C57BDE,7,0,0,2024-04-10,45392,0,9A6C42A411C57BDE
2024/04/10 19:03:49,C963DF,3,D,WWW_ElliMist,B077A4BA45DBFE90,7,0,19,2024-04-10,45392,0,B077A4BA45DBFE90
2024/04/10 19:03:49,C963DF,3,D,TOTALS,,7,1,270,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,E,xReturn,C5291FD5BBD3F050,3,1,335,2024-04-10,45392,0,C5291FD5BBD3F050
2024/04/10 19:03:49,C963DF,3,E,Jester.thecl0wn,E7F628EC5820CF60,3,2,970,2024-04-10,45392,0,E7F628EC5820CF60
2024/04/10 19:03:49,C963DF,3,E,Chino__0,2072A9F47383F728,3,5,1118,2024-04-10,45392,0,DEBC974F6F52CCCC
2024/04/10 19:03:49,C963DF,3,E,TOTALS,,3,8,2423,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,F,Onickss,1BE398197ACAE00D,2,2,591,2024-04-10,45392,0,1BE398197ACAE00D
2024/04/10 19:03:49,C963DF,3,F,UnQuestionable,87FF41F7ADCDEDFB,2,0,241,2024-04-10,45392,0,87FF41F7ADCDEDFB
2024/04/10 19:03:49,C963DF,3,F,WWW_Nando_AK,D6D028A669631FFF,2,1,329,2024-04-10,45392,0,D6D028A669631FFF
2024/04/10 19:03:49,C963DF,3,F,TOTALS,,2,3,1161,2024-04-10,45392,0,
2024/04/10 19:03:49,C963DF,3,G,bobthecookie123,DBDBA18FAE3C771F,4,0,0,2024-04-10,45392,0,DBDBA18FAE3C771F
2024/04/10 19:03:49,C963DF,3,G,TOTALS,,4,0,0,2024-04-10,45392,0,
2024/04/10 19:07:30,AED685.00,5,A,Yeahboiiiiii,529AAA3C915D1165,1,3,637,2024-04-10,45392,0,529AAA3C915D1165
2024/04/10 19:07:30,AED685.00,5,A,APEX_BOBO,B864335427BF31DE,1,3,577,2024-04-10,45392,0,B864335427BF31DE
2024/04/10 19:07:30,AED685.00,5,A,SAH1b,17C81FDBCCC905C6,1,6,689,2024-04-10,45392,0,17C81FDBCCC905C6
2024/04/10 19:07:30,AED685.00,5,A,TOTALS,,1,12,1903,2024-04-10,45392,0,
2024/04/10 19:07:30,AED685.00,5,B,GO_BABs,290C1E25CEE59C4B,4,3,525,2024-04-10,45392,0,290C1E25CEE59C4B
2024/04/10 19:07:30,AED685.00,5,B,GO_Loki714,322087B90928B7CB,4,0,282,2024-04-10,45392,0,7AEED7BA665E4D7A
2024/04/10 19:07:30,AED685.00,5,B,GO_STOOOBE,121559C6C39206B5,4,2,411,2024-04-10,45392,0,121559C6C39206B5
2024/04/10 19:07:30,AED685.00,5,B,TOTALS,,4,5,1218,2024-04-10,45392,0,
