ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM,confidence_factor_low,confidence_factor_high
Mr.HODLGANG,8.000,831.000,830.141,830.656,830.885,0.400,0.133
Mr.Xtwinkler,13.000,1062.000,808.522,897.239,1007.080,0.650,0.217
MrRager,4.000,932.000,1043.626,954.325,954.325,0.200,0.067
NAA-GridTheKing,5.000,1218.000,1303.556,1239.389,1239.389,0.250,0.083
N_H_L0024,5.000,1018.000,998.447,1013.112,1016.371,0.250,0.083
Naastyy.NB,5.000,1551.000,1370.879,1505.970,1535.990,0.250,0.083
Nater.Potater,5.000,981.000,876.533,954.883,972.294,0.250,0.083
ONE_KAKAK_KR,5.000,1175.000,1360.521,1221.380,1221.380,0.250,0.083
Onickss,5.000,842.000,916.128,860.532,860.532,0.250,0.083
POOTERPANDA,25.000,1024.000,1575.201,1575.201,1575.201,1.000,0.417
PUTIN,14.000,1152.000,1101.018,1116.313,1140.104,0.700,0.233
Pistol_Gladiator,8.000,850.000,817.599,837.040,845.680,0.400,0.133
Pistol_Maverick,13.000,771.000,780.886,777.426,777.426,0.650,0.217
RBL_Elliott,10.000,975.000,886.621,930.810,960.270,0.500,0.167
RBL_Goon_1,46.000,874.000,1152.105,1152.105,1152.105,1.000,0.767
RBL_Itsa.me.Mario,23.000,855.000,783.921,783.921,827.753,1.000,0.383
RBL_WadsFam,5.000,954.000,670.034,883.009,930.336,0.250,0.083
RYL.Shaman,20.000,720.000,914.591,914.591,914.591,1.000,0.333
Ramp4g3,5.000,1054.000,1336.743,1124.686,1124.686,0.250,0.083
Rasta,5.000,1384.000,1484.728,1409.182,1409.182,0.250,0.083
Ry.y,14.000,1025.000,1114.427,1087.599,1087.599,0.700,0.233
RyRyTheDestroyer,5.000,509.000,942.453,617.363,617.363,0.250,0.083
Ryl_BrookyG,10.000,394.000,706.309,550.154,550.154,0.500,0.167
S.A.O PeterpanFLEX,19.000,1216.000,1735.056,1709.104,1709.104,0.950,0.317
S.A.O. DRACO,15.000,1001.000,1103.831,1078.123,1078.123,0.750,0.250
S.A.O._MAX.I.CAN,23.000,1511.000,1167.025,1167.025,1379.143,1.000,0.383
S.A.O_Gomezx3Turbo,14.000,1185.000,1235.949,1220.664,1220.664,0.700,0.233
SADDAM,5.000,0.000,910.194,910.194,910.194,1.000,1.000
SAH1b,50.000,1114.000,1801.905,1801.905,1801.905,1.000,0.833
SAO._.K1NGZ,21.000,1262.000,1477.816,1477.816,1477.816,1.000,0.350
SAO_adrianna,4.000,715.000,768.105,725.621,725.621,0.200,0.067
SAO_bugatti,5.000,533.000,671.761,567.690,567.690,0.250,0.083
SWA_wildbarnacle,5.000,777.000,880.957,802.989,802.989,0.250,0.083
S_A_O_Jakester001,19.000,851.000,1010.931,1002.935,1002.935,0.950,0.317
SgtSlaughter16.NB,10.000,811.000,1026.876,918.938,918.938,0.500,0.167
SheDontLuvYou,0.000,1432.000,1026.876,1432.000,1432.000,0.000,0.000
Shinybear,19.000,958.000,971.645,970.963,970.963,0.950,0.317
SickMini,10.000,1445.000,1318.445,1381.722,1423.907,0.500,0.167
Smoke399,5.000,747.000,946.553,796.888,796.888,0.250,0.083
Sp1n13,10.000,1156.000,956.910,1056.455,1122.818,0.500,0.167
TBEEMoney,15.000,0.000,811.692,811.692,811.692,1.000,1.000
THCX-UNFAIRMAGE,1.000,939.000,637.453,923.923,933.974,0.050,0.017
THC_Dream_King,1.000,1041.000,677.721,1022.836,1034.945,0.050,0.017
TOXIC_MPBOSS,5.000,1404.000,986.412,1299.603,1369.201,0.250,0.083
TROJR_Trinket,5.000,354.000,747.275,452.319,452.319,0.250,0.083
TTP.Chase,14.000,918.000,844.005,866.203,900.734,0.700,0.233
TTV.Cryptic,5.000,1215.000,1537.243,1295.561,1295.561,0.250,0.083
TTV/Fuze,5.000,1102.000,1127.807,1108.452,1108.452,0.250,0.083
TTV_CaseOh,10.000,935.000,1561.626,1248.313,1248.313,0.500,0.167
TTV_FadedPigeon47,0.000,668.000,1561.626,668.000,668.000,0.000,0.000
The_Don_84,5.000,664.000,919.581,727.895,727.895,0.250,0.083
Tonkaah,39.000,941.000,1390.115,1390.115,1390.115,1.000,0.650
TreeTrunkTravis,5.000,1151.000,1354.587,1201.897,1201.897,0.250,0.083
UnQuestionable,5.000,819.000,1162.330,904.832,904.832,0.250,0.083
UnsaidRhombus.NB,26.000,1577.000,1234.750,1234.750,1428.691,1.000,0.433
VIPxGloxi,15.000,1030.000,1101.157,1083.368,1083.368,0.750,0.250
VIPxJasonStone,10.000,971.000,942.278,956.639,966.213,0.500,0.167
VIPxNoah,5.000,1371.000,1592.266,1426.316,1426.316,0.250,0.083
VIPxPinkpwnage,19.000,1555.000,1472.857,1476.964,1528.988,0.950,0.317
VIPxPoppin,20.000,926.000,956.694,956.694,956.694,1.000,0.333
VIPxRyan2dayy,5.000,1361.000,1508.113,1397.778,1397.778,0.250,0.083
VIPxSami,10.000,839.000,980.376,909.688,909.688,0.500,0.167
VIPxSparklingrabbit.2.0,15.000,1127.000,982.228,1018.421,1090.807,0.750,0.250
VIPxSpray,10.000,1272.000,1182.235,1227.118,1257.039,0.500,0.167
VIPxSteel,0.000,1199.000,1182.235,1199.000,1199.000,0.000,0.000
VIPxTheFlipSide,18.000,1156.000,1027.704,1040.534,1117.511,0.900,0.300
VIPxgiantbob321,55.000,1113.000,1013.950,1013.950,1022.204,1.000,0.917
Vantage.VR,5.000,1063.000,893.364,1020.591,1048.864,0.250,0.083
WWW_ElliMist,5.000,918.000,698.948,863.237,899.746,0.250,0.083
WWW_FemboyFallen,10.000,667.000,728.456,697.728,697.728,0.500,0.167
WWW_Nando_AK,5.000,876.000,954.860,895.715,895.715,0.250,0.083
